================================================================================
                       - Log file for GhostNight server -                       
================================================================================
 - File name: Room500.txt
 - Create time: 4/7/2016 10:56:29 PM
 - Room Number: 500
================================================================================
 Timestamp | Event source | Event name | Data                                   
--------------------------------------------------------------------------------
      9234 |      Kappa-0 |     ATTACK | Blocker-0 90 to 910
      9570 |      Kappa-0 |     ATTACK | Blocker-0 90 to 820
      9904 |      Kappa-0 |     ATTACK | Blocker-0 90 to 730
     10238 |      Kappa-0 |     ATTACK | Blocker-0 90 to 640
     10571 |      Kappa-0 |     ATTACK | Blocker-0 90 to 550
     10906 |      Kappa-0 |     ATTACK | Blocker-0 90 to 460
     11239 |      Kappa-0 |     ATTACK | Blocker-0 90 to 370
     11574 |      Kappa-0 |     ATTACK | Blocker-0 90 to 280
     11908 |      Kappa-0 |     ATTACK | Blocker-0 90 to 190
     12242 |      Kappa-0 |     ATTACK | Blocker-0 90 to 100
     12575 |      Kappa-0 |     ATTACK | Blocker-0 90 to 10
     12911 |      Kappa-0 |     ATTACK | Blocker-0 10 to 0
     12911 |    Blocker-0 |        DIE | killed by Kappa-0
     20260 |       Miko-1 |     ATTACK | Kappa-0 90 to 510
     20260 |      Kappa-0 |     ATTACK | Miko-1 90 to 910
     20594 |       Miko-1 |     ATTACK | Kappa-0 90 to 420
     20595 |      Kappa-0 |     ATTACK | Miko-1 90 to 820
     20928 |       Miko-1 |     ATTACK | Kappa-0 90 to 330
     20929 |      Kappa-0 |     ATTACK | Miko-1 90 to 730
     21262 |       Miko-1 |     ATTACK | Kappa-0 90 to 240
     21263 |      Kappa-0 |     ATTACK | Miko-1 90 to 640
     21596 |       Miko-1 |     ATTACK | Kappa-0 90 to 150
     21597 |      Kappa-0 |     ATTACK | Miko-1 90 to 550
     21931 |       Miko-1 |     ATTACK | Kappa-0 90 to 60
     21931 |      Kappa-0 |     ATTACK | Miko-1 90 to 460
     22265 |       Miko-1 |     ATTACK | Kappa-0 60 to 0
     22266 |      Kappa-0 |        DIE | killed by Miko-1
     22603 |       Miko-1 |     ATTACK | Wanyudo-1 90 to 910
     22936 |       Miko-1 |     ATTACK | Wanyudo-1 90 to 820
     23271 |       Miko-1 |     ATTACK | Wanyudo-1 90 to 730
     23273 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 640
     23605 |       Miko-1 |     ATTACK | Wanyudo-1 90 to 550
     23606 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 460
     23939 |       Miko-1 |     ATTACK | Wanyudo-1 90 to 370
     23941 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 280
     24276 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 190
     24612 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 100
     24946 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 10
     25281 |    Wanyudo-1 |        DIE | killed by Inari-0
     25280 |      Inari-0 |     ATTACK | Wanyudo-1 10 to 0
     51095 |       Miko-1 |     ATTACK | Nekomata 90 to 910
