================================================================================
                       - Log file for GhostNight server -                       
================================================================================
 - File name: log.txt
 - Create time: 4/2/2016 2:03:18 AM
================================================================================
 Timestamp | Event source | Event name | Data                                   
--------------------------------------------------------------------------------
      3844 |      Kappa-1 |     ATTACK | Blocker-0 90 to 910
      4179 |      Kappa-1 |     ATTACK | Blocker-0 90 to 820
      4513 |      Kappa-1 |     ATTACK | Blocker-0 90 to 730
      4847 |      Kappa-1 |     ATTACK | Blocker-0 90 to 640
      5181 |      Kappa-1 |     ATTACK | Blocker-0 90 to 550
      5515 |      Kappa-1 |     ATTACK | Blocker-0 90 to 460
      5849 |      Kappa-1 |     ATTACK | Blocker-0 90 to 370
      6183 |      Kappa-1 |     ATTACK | Blocker-0 90 to 280
      6517 |      Kappa-1 |     ATTACK | Blocker-0 90 to 190
      6851 |      Kappa-1 |     ATTACK | Blocker-0 90 to 100
      7185 |      Kappa-1 |     ATTACK | Blocker-0 90 to 10
      7519 |      Kappa-1 |     ATTACK | Blocker-0 10 to 0
      7519 |    Blocker-0 |        DIE | killed by Kappa-1
      8004 |      Snake-0 |       BUFF | atk x2
      8855 |      Snake-0 |     ATTACK | Kappa-1 190 to 410
      8856 |      Kappa-1 |     ATTACK | Snake-0 90 to 910
      9191 |      Snake-0 |     ATTACK | Kappa-1 190 to 220
      9192 |      Kappa-1 |     ATTACK | Snake-0 90 to 820
      9526 |      Snake-0 |     ATTACK | Kappa-1 190 to 30
      9526 |      Kappa-1 |     ATTACK | Snake-0 90 to 730
      9860 |      Snake-0 |     ATTACK | Kappa-1 30 to 0
      9860 |      Kappa-1 |        DIE | killed by Snake-0
     11174 |      Snake-0 |     ATTACK | Nekomata 190 to 810
     11175 |     Nekomata |     ATTACK | Snake-0 90 to 640
     11509 |      Snake-0 |     ATTACK | Nekomata 190 to 620
     11509 |     Nekomata |     ATTACK | Snake-0 90 to 550
     11843 |      Snake-0 |     ATTACK | Nekomata 190 to 430
     11844 |     Nekomata |     ATTACK | Snake-0 90 to 460
     12177 |      Snake-0 |     ATTACK | Nekomata 190 to 240
     12177 |     Nekomata |     ATTACK | Snake-0 90 to 370
     28005 |      Snake-0 |       NERF | atk x0.5
